"pid","image_slug","post_id","galleryid","filename","description","alttext","imagedate","exclude","sortorder","meta_data","fullpath"
"132","newpc23","0","10","newpc23.jpg",,"newpc23","2012-03-16 20:24:19","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:3:""F 3"";s:6:""credit"";b:0;s:6:""camera"";s:27:""Canon PowerShot ELPH 310 HS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""March 16, 2012 8:24 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:4:""5 mm"";s:3:""iso"";i:1600;s:13:""shutter_speed"";s:8:""1/10 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:1000;s:6:""height"";i:750;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/new-pc/newpc23.jpg"
"133","newpc24","0","10","newpc24.jpg",,"newpc24","2012-03-16 20:24:25","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:3:""F 3"";s:6:""credit"";b:0;s:6:""camera"";s:27:""Canon PowerShot ELPH 310 HS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""March 16, 2012 8:24 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:4:""5 mm"";s:3:""iso"";i:1600;s:13:""shutter_speed"";s:8:""1/20 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:1000;s:6:""height"";i:750;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/new-pc/newpc24.jpg"
"134","newpc25","0","10","newpc25.jpg",,"newpc25","2012-03-16 20:24:33","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:3:""F 3"";s:6:""credit"";b:0;s:6:""camera"";s:27:""Canon PowerShot ELPH 310 HS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""March 16, 2012 8:24 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:4:""5 mm"";s:3:""iso"";i:800;s:13:""shutter_speed"";s:8:""1/60 sec"";s:5:""flash"";s:5:""Fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:1000;s:6:""height"";i:750;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/new-pc/newpc25.jpg"
"135","newpc26","0","10","newpc26.jpg",,"newpc26","2012-03-16 20:24:41","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:3:""F 3"";s:6:""credit"";b:0;s:6:""camera"";s:27:""Canon PowerShot ELPH 310 HS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""March 16, 2012 8:24 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:4:""5 mm"";s:3:""iso"";i:800;s:13:""shutter_speed"";s:8:""1/60 sec"";s:5:""flash"";s:5:""Fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:1000;s:6:""height"";i:750;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/new-pc/newpc26.jpg"
"136","newpc27","0","10","newpc27.jpg",,"newpc27","2012-03-16 20:51:35","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:3:""F 3"";s:6:""credit"";b:0;s:6:""camera"";s:27:""Canon PowerShot ELPH 310 HS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""March 16, 2012 8:51 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:4:""5 mm"";s:3:""iso"";i:800;s:13:""shutter_speed"";s:8:""1/60 sec"";s:5:""flash"";s:5:""Fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:1000;s:6:""height"";i:750;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/new-pc/newpc27.jpg"
"137","me14kimono","0","11","me14kimono.jpg","Me at 14 in a kimono my grandparents bought on a mission in Japan.","me14kimono","2012-04-04 20:49:33","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.4"";s:6:""credit"";b:0;s:6:""camera"";s:9:""iPhone 4S"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 4, 2012 8:49 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""4.28 mm"";s:3:""iso"";i:800;s:13:""shutter_speed"";s:8:""1/20 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:2448;s:6:""height"";i:2691;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/misc/me14kimono.jpg"
"138","100_1003","0","12","100_1003.jpg",,"100_1003","2011-04-05 06:11:08","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 5.6"";s:6:""credit"";b:0;s:6:""camera"";s:35:""KODAK EASYSHARE M340 Digital Camera"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 5, 2011 6:11 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""6.3 mm"";s:3:""iso"";i:80;s:13:""shutter_speed"";s:9:""1/640 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3664;s:6:""height"";i:2748;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_1003.jpg"
"139","100_1061","0","12","100_1061.jpg",,"100_1061","2011-04-12 08:06:36","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 8.1"";s:6:""credit"";b:0;s:6:""camera"";s:35:""KODAK EASYSHARE M340 Digital Camera"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""April 12, 2011 8:06 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""12.1 mm"";s:3:""iso"";i:80;s:13:""shutter_speed"";s:9:""1/500 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3664;s:6:""height"";i:2748;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_1061.jpg"
"140","100_1062","0","12","100_1062.jpg",,"100_1062","2011-04-12 08:07:19","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 8.1"";s:6:""credit"";b:0;s:6:""camera"";s:35:""KODAK EASYSHARE M340 Digital Camera"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""April 12, 2011 8:07 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""12.1 mm"";s:3:""iso"";i:80;s:13:""shutter_speed"";s:9:""1/640 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3664;s:6:""height"";i:2748;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_1062.jpg"
"141","100_1063","0","12","100_1063.jpg",,"100_1063","2011-04-12 08:07:23","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 8.1"";s:6:""credit"";b:0;s:6:""camera"";s:35:""KODAK EASYSHARE M340 Digital Camera"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""April 12, 2011 8:07 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""12.1 mm"";s:3:""iso"";i:80;s:13:""shutter_speed"";s:9:""1/500 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3664;s:6:""height"";i:2748;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_1063.jpg"
"142","100_1092","0","12","100_1092.jpg",,"100_1092","2011-04-12 08:22:27","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 5.6"";s:6:""credit"";b:0;s:6:""camera"";s:35:""KODAK EASYSHARE M340 Digital Camera"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""April 12, 2011 8:22 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""6.3 mm"";s:3:""iso"";i:80;s:13:""shutter_speed"";s:10:""1/1250 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3664;s:6:""height"";i:2748;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_1092.jpg"
"143","100_1107","0","12","100_1107.jpg",,"100_1107","2011-04-12 08:25:13","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 5.6"";s:6:""credit"";b:0;s:6:""camera"";s:35:""KODAK EASYSHARE M340 Digital Camera"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""April 12, 2011 8:25 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""6.3 mm"";s:3:""iso"";i:80;s:13:""shutter_speed"";s:9:""1/200 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3664;s:6:""height"";i:2748;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_1107.jpg"
"144","100_7615","0","12","100_7615.jpg",,"100_7615","2011-04-03 09:23:13","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:33:""KODAK Z812 IS ZOOM DIGITAL CAMERA"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 3, 2011 9:23 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""5.85 mm"";s:3:""iso"";i:400;s:13:""shutter_speed"";s:8:""1/10 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3264;s:6:""height"";i:2448;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_7615.jpg"
"145","100_7616","0","12","100_7616.jpg",,"100_7616","2011-04-03 09:23:30","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:33:""KODAK Z812 IS ZOOM DIGITAL CAMERA"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 3, 2011 9:23 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""5.85 mm"";s:3:""iso"";i:400;s:13:""shutter_speed"";s:8:""1/10 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3264;s:6:""height"";i:2448;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_7616.jpg"
"146","100_7617","0","12","100_7617.jpg",,"100_7617","2011-04-03 09:24:20","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:33:""KODAK Z812 IS ZOOM DIGITAL CAMERA"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 3, 2011 9:24 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""5.85 mm"";s:3:""iso"";i:200;s:13:""shutter_speed"";s:8:""1/30 sec"";s:5:""flash"";s:5:""Fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3264;s:6:""height"";i:2448;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_7617.jpg"
"147","100_7618","0","12","100_7618.jpg",,"100_7618","2011-04-03 09:24:27","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:33:""KODAK Z812 IS ZOOM DIGITAL CAMERA"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 3, 2011 9:24 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""5.85 mm"";s:3:""iso"";i:400;s:13:""shutter_speed"";s:8:""1/10 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3264;s:6:""height"";i:2448;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_7618.jpg"
"148","100_7619","0","12","100_7619.jpg",,"100_7619","2011-04-03 09:24:34","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:33:""KODAK Z812 IS ZOOM DIGITAL CAMERA"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 3, 2011 9:24 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""5.85 mm"";s:3:""iso"";i:400;s:13:""shutter_speed"";s:8:""1/10 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3264;s:6:""height"";i:2448;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_7619.jpg"
"149","100_7620","0","12","100_7620.jpg",,"100_7620","2011-04-03 09:28:08","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 5.6"";s:6:""credit"";b:0;s:6:""camera"";s:33:""KODAK Z812 IS ZOOM DIGITAL CAMERA"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 3, 2011 9:28 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""5.85 mm"";s:3:""iso"";i:70;s:13:""shutter_speed"";s:9:""1/800 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3264;s:6:""height"";i:2448;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_7620.jpg"
"150","100_7621","0","12","100_7621.jpg",,"100_7621","2011-04-03 09:28:25","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 5.6"";s:6:""credit"";b:0;s:6:""camera"";s:33:""KODAK Z812 IS ZOOM DIGITAL CAMERA"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 3, 2011 9:28 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""5.85 mm"";s:3:""iso"";i:70;s:13:""shutter_speed"";s:9:""1/800 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3264;s:6:""height"";i:2448;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_7621.jpg"
"151","100_7622","0","12","100_7622.jpg",,"100_7622","2011-04-03 09:29:10","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:33:""KODAK Z812 IS ZOOM DIGITAL CAMERA"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 3, 2011 9:29 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""5.85 mm"";s:3:""iso"";i:70;s:13:""shutter_speed"";s:10:""1/1000 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:2448;s:6:""height"";i:3264;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_7622.jpg"
"152","100_7623","0","12","100_7623.jpg",,"100_7623","2011-04-03 09:29:23","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 5.6"";s:6:""credit"";b:0;s:6:""camera"";s:33:""KODAK Z812 IS ZOOM DIGITAL CAMERA"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 3, 2011 9:29 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""5.85 mm"";s:3:""iso"";i:70;s:13:""shutter_speed"";s:10:""1/1250 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3264;s:6:""height"";i:2448;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_7623.jpg"
"153","100_7624","0","12","100_7624.jpg",,"100_7624","2011-04-03 09:29:30","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 5.6"";s:6:""credit"";b:0;s:6:""camera"";s:33:""KODAK Z812 IS ZOOM DIGITAL CAMERA"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 3, 2011 9:29 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""5.85 mm"";s:3:""iso"";i:70;s:13:""shutter_speed"";s:10:""1/1000 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:2448;s:6:""height"";i:3264;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_7624.jpg"
"154","100_7625","0","12","100_7625.jpg",,"100_7625","2011-04-03 09:29:39","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:3:""F 4"";s:6:""credit"";b:0;s:6:""camera"";s:33:""KODAK Z812 IS ZOOM DIGITAL CAMERA"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 3, 2011 9:29 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""5.85 mm"";s:3:""iso"";i:70;s:13:""shutter_speed"";s:9:""1/500 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3264;s:6:""height"";i:2448;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_7625.jpg"
"155","100_7626","0","12","100_7626.jpg",,"100_7626","2011-04-03 09:29:47","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:33:""KODAK Z812 IS ZOOM DIGITAL CAMERA"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 3, 2011 9:29 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""5.85 mm"";s:3:""iso"";i:70;s:13:""shutter_speed"";s:9:""1/800 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:2448;s:6:""height"";i:3264;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_7626.jpg"
"156","100_7627","0","12","100_7627.jpg",,"100_7627","2011-04-03 09:29:59","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:3:""F 4"";s:6:""credit"";b:0;s:6:""camera"";s:33:""KODAK Z812 IS ZOOM DIGITAL CAMERA"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 3, 2011 9:29 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""5.85 mm"";s:3:""iso"";i:70;s:13:""shutter_speed"";s:9:""1/640 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3264;s:6:""height"";i:2448;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_7627.jpg"
"157","100_7628","0","12","100_7628.jpg",,"100_7628","2011-04-03 09:30:04","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:33:""KODAK Z812 IS ZOOM DIGITAL CAMERA"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 3, 2011 9:30 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""5.85 mm"";s:3:""iso"";i:70;s:13:""shutter_speed"";s:9:""1/100 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3264;s:6:""height"";i:2448;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_7628.jpg"
"158","100_7629","0","12","100_7629.jpg",,"100_7629","2011-04-03 09:30:22","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:33:""KODAK Z812 IS ZOOM DIGITAL CAMERA"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 3, 2011 9:30 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""5.85 mm"";s:3:""iso"";i:70;s:13:""shutter_speed"";s:9:""1/160 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:2448;s:6:""height"";i:3264;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_7629.jpg"
"159","100_7630","0","12","100_7630.jpg",,"100_7630","2011-04-03 09:31:20","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:33:""KODAK Z812 IS ZOOM DIGITAL CAMERA"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 3, 2011 9:31 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""5.85 mm"";s:3:""iso"";i:70;s:13:""shutter_speed"";s:8:""1/50 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:2448;s:6:""height"";i:3264;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_7630.jpg"
"160","100_7631","0","12","100_7631.jpg",,"100_7631","2011-04-03 09:32:39","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 5.6"";s:6:""credit"";b:0;s:6:""camera"";s:33:""KODAK Z812 IS ZOOM DIGITAL CAMERA"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 3, 2011 9:32 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""5.85 mm"";s:3:""iso"";i:70;s:13:""shutter_speed"";s:9:""1/800 sec"";s:5:""flash"";s:5:""Fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3264;s:6:""height"";i:2448;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_7631.jpg"
"161","100_7632","0","12","100_7632.jpg",,"100_7632","2011-04-03 09:32:49","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 5.6"";s:6:""credit"";b:0;s:6:""camera"";s:33:""KODAK Z812 IS ZOOM DIGITAL CAMERA"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 3, 2011 9:32 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""5.85 mm"";s:3:""iso"";i:70;s:13:""shutter_speed"";s:9:""1/800 sec"";s:5:""flash"";s:5:""Fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:2448;s:6:""height"";i:3264;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_7632.jpg"
"162","100_7633","0","12","100_7633.jpg",,"100_7633","2011-04-03 09:33:03","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:3:""F 4"";s:6:""credit"";b:0;s:6:""camera"";s:33:""KODAK Z812 IS ZOOM DIGITAL CAMERA"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 3, 2011 9:33 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""5.85 mm"";s:3:""iso"";i:70;s:13:""shutter_speed"";s:10:""1/1600 sec"";s:5:""flash"";s:5:""Fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:2448;s:6:""height"";i:3264;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_7633.jpg"
"163","100_7634","0","12","100_7634.jpg",,"100_7634","2011-04-03 09:33:12","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:3:""F 4"";s:6:""credit"";b:0;s:6:""camera"";s:33:""KODAK Z812 IS ZOOM DIGITAL CAMERA"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 3, 2011 9:33 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""5.85 mm"";s:3:""iso"";i:70;s:13:""shutter_speed"";s:10:""1/1250 sec"";s:5:""flash"";s:5:""Fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:2448;s:6:""height"";i:3264;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_7634.jpg"
"164","100_7635","0","12","100_7635.jpg",,"100_7635","2011-04-03 09:33:20","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 5.6"";s:6:""credit"";b:0;s:6:""camera"";s:33:""KODAK Z812 IS ZOOM DIGITAL CAMERA"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 3, 2011 9:33 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""5.85 mm"";s:3:""iso"";i:70;s:13:""shutter_speed"";s:9:""1/800 sec"";s:5:""flash"";s:5:""Fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3264;s:6:""height"";i:2448;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/freedom-of-the-seas/100_7635.jpg"
